Date,TLT.O_ret_1d,TLT.O_ret_5d,TLT.O_ret_20d,TLT.O_macd,TLT.O_rsi_14,TLT.O_vol_20d,Term_Spread_level,Term_Spread_diff,Credit_Spread_level,Credit_Spread_diff,Breakeven_Inflation_level,Breakeven_Inflation_diff,VIX_level,VIX_diff,Gold_Spot_logret,WTI_Crude_logret,DXY_logret,target
2004-12-16,-0.01485479931819416,0.002704227000077307,-0.0011246065062920484,0.1723988174707074,38.65029040355314,0.12510907934254115,1.18,0.05999999999999983,1.92,0.010000000000000009,2.55,0.029999999999999805,12.27,-0.08000000000000007,-0.009016828225302777,-0.0011316058693121133,0.010601451877370664,-0.0013511993948587078
2004-12-17,-0.0013511993948587078,-0.001126126245135136,0.005536424514124045,0.15912787565618203,38.07731383963232,0.12167813651576666,1.18,0.0,1.92,0.0,2.57,0.020000000000000018,11.95,-0.3200000000000003,0.0,0.047538518523820836,-0.0041297277203325815,0.0018011937775223627
2004-12-20,0.0018011937775223627,-0.0014610848342419007,0.0021392790909359866,0.15968052379972164,39.367967286664,0.12044701730158483,1.15,-0.030000000000000027,1.9,-0.020000000000000018,2.59,0.020000000000000018,11.83,-0.11999999999999922,0.006492211888164334,-0.016108315216869406,-0.005981828250118429,0.0030321770662830572
2004-12-21,0.0030321770662830572,-0.0023520199004305777,0.003932368417721111,0.17983225070648245,41.58077714869466,0.12083808798131829,1.13,-0.020000000000000018,1.91,0.010000000000000009,2.59,0.0,11.55,-0.27999999999999936,0.010960942359091577,0.004160741795751299,0.0033005347485406127,-0.003369653867956203
2004-12-22,-0.003369653867956203,-0.014742281737203544,0.0005627145497650054,0.16963964642309293,39.84092034356973,0.12150096992751176,1.17,0.040000000000000036,1.91,0.0,2.58,-0.009999999999999787,11.45,-0.10000000000000142,-0.008738943666870894,-0.038084994689353974,-0.00012204796500157387,-0.003268160907433495
2004-12-23,-0.003268160907433495,-0.0031556433264428095,-0.0027054463576685938,0.13658686931876218,38.17791172459771,0.12206352394304558,1.21,0.040000000000000036,1.91,0.0,2.61,0.029999999999999805,11.23,-0.21999999999999886,0.0018143337302398642,-0.0431421262459412,-0.0072273236746448555,0.0
2004-12-24,0.0,-0.0018044439315841113,0.0038452886105347873,0.1091342733615761,38.17791172459771,0.11968877085802364,1.21,0.0,1.91,0.0,2.61,0.0,11.23,0.0,0.0,0.0,-0.0014763782209268324,-0.007819179732809612
2004-12-27,-0.007819179732809612,-0.011424817441916165,0.006734800868415134,0.03133939876992997,34.23468349331631,0.11659787757016786,1.23,0.020000000000000018,1.9,-0.010000000000000009,2.63,0.020000000000000018,12.14,0.9100000000000001,0.008223895512446658,-0.022289718493141493,-0.0061751462127982324,-0.0007966767621053557
2004-12-28,-0.0007966767621053557,-0.01525367127030464,0.010184902368379937,-0.03555219128072906,33.852680783484516,0.11543642727212933,1.23,0.0,1.9,0.0,2.62,-0.009999999999999787,12.0,-0.14000000000000057,-0.007720497565747764,0.012524248485313975,0.0,-0.001025232190958168
2004-12-29,-0.001025232190958168,-0.012909249593306608,0.014811683608768427,-0.0947344662061198,33.33761370806076,0.11330983188133453,1.21,-0.020000000000000018,1.89,-0.010000000000000009,2.6,-0.020000000000000018,11.62,-0.3800000000000008,-0.004236439662694506,0.044701486834924635,0.0030923396526694566,0.006701905018972914
2004-12-30,0.006701905018972914,-0.0029391836669001906,0.025570389323355806,-0.092957223299166,39.803608722363535,0.11370331921212735,1.17,-0.040000000000000036,1.89,0.0,2.57,-0.03000000000000025,12.56,0.9400000000000013,-0.0007078214563180631,-0.007581885831953713,-0.005448929890569387,0.0024875634718017074
2004-12-31,0.0024875634718017074,-0.0004516201950985384,0.012614520360559378,-0.0729555973942837,42.06036979055561,0.1008728681488732,1.16,-0.010000000000000009,1.86,-0.029999999999999805,2.56,-0.009999999999999787,13.29,0.7299999999999986,0.004944261119012632,0.0,0.003965800215662146,0.0021433817219209676
2005-01-03,0.0021433817219209676,0.009510941259632083,0.011332850212695552,-0.041296709891668115,44.0125565590399,0.10050388958547814,1.13,-0.030000000000000027,1.86,0.0,2.53,-0.03000000000000025,14.08,0.7900000000000009,-0.03795327311156387,-0.028065452898283955,0.0055504305306490415,-0.01053535657885921
2005-01-04,-0.01053535657885921,-0.0002277385571218074,-0.00045542526120197425,-0.09021015461307513,37.3745763228777,0.10787665574292342,1.09,-0.039999999999999813,1.85,-0.010000000000000009,2.51,-0.020000000000000018,13.98,-0.09999999999999964,-0.0226273134389065,0.041808225302313755,0.01550040187557219,0.005338192016631564
2005-01-05,0.005338192016631564,0.006135685650467735,-0.010591648311583034,-0.09001174059579853,42.12517802191879,0.09362213027812874,1.07,-0.020000000000000018,1.83,-0.020000000000000018,2.5,-0.009999999999999787,14.09,0.10999999999999943,-0.001819641925685875,-0.012590300223918579,-0.00036339410490129697,0.00067942477984485
2005-01-06,0.00067942477984485,0.00011320541133951467,-0.0032773945819260485,-0.08404418841021766,42.72251575994811,0.09085505365472721,1.11,0.040000000000000036,1.84,0.010000000000000009,2.53,0.029999999999999805,13.58,-0.5099999999999998,-0.0035417262672938995,0.04724225271704832,0.007363181314500839,0.002261421135614499
2005-01-07,0.002261421135614499,-0.00011293692484753161,-0.0034951272966652455,-0.06245657130288862,44.76885558163684,0.09077429668690015,1.09,-0.020000000000000018,1.83,-0.010000000000000009,2.49,-0.03999999999999959,13.49,-0.08999999999999986,0.004077258867250886,-0.004183645868744941,0.005516924523029852,0.0015799574441156766
2005-01-10,0.0015799574441156766,-0.0006763612026525902,-0.0040513222191786895,-0.033663349109929186,46.21735622180266,0.09060781475102438,1.06,-0.030000000000000027,1.82,-0.010000000000000009,2.52,0.029999999999999805,13.23,-0.2599999999999998,0.0,-0.0002206774807587057,-0.003834636214717345,0.0058466548378529265
2005-01-11,0.0058466548378529265,0.015705650214059483,-0.0021277795137974774,0.030760552598053437,51.323722878768045,0.0920157974316915,1.02,-0.040000000000000036,1.81,-0.010000000000000009,2.5,-0.020000000000000018,13.19,-0.040000000000000924,0.017197876097031727,0.00769488242260261,-0.003246951322356536,0.001344387385993238
2005-01-12,0.001344387385993238,0.011711845583421312,-0.009804000096620967,0.0904572214279824,52.44579648424133,0.08573737766864307,1.03,0.010000000000000009,1.81,0.0,2.52,0.020000000000000018,12.56,-0.629999999999999,0.00010524654011694913,0.017369086240613757,-0.010656434096480101,0.00958224602098118
2005-01-13,0.00958224602098118,0.02061466682455779,0.01463304524255433,0.20480125288814577,59.628399270957594,0.07459048468980442,0.99,-0.040000000000000036,1.8,-0.010000000000000009,2.5,-0.020000000000000018,12.84,0.27999999999999936,-0.009516831899613429,0.03489832836909929,0.004494389587839267,-0.00011089548112287344
2005-01-14,-0.00011089548112287344,0.018242350207820363,0.015873349156290163,0.29125539431262837,59.515832118595114,0.07426032857847895,0.99,0.0,1.79,-0.010000000000000009,2.51,0.009999999999999787,12.43,-0.41000000000000014,-0.00928650533523685,0.006216348240240502,0.006643740086355509,0.0
2005-01-17,0.0,0.016662392763704518,0.014072155378767706,0.35567097070716613,59.515832118595114,0.07421142724038868,0.99,0.0,1.79,0.0,2.51,0.0,12.43,0.0,0.0,0.0,0.0,0.003321526525834911
2005-01-18,0.003321526525834911,0.014137264451686489,0.01436150483831964,0.4260174083871249,62.01103903601459,0.07433884238491509,0.95,-0.040000000000000036,1.77,-0.020000000000000018,2.5,-0.009999999999999787,12.47,0.040000000000000924,0.008223467072059535,0.001032311436776792,0.003605339802449187,0.0028697591438872783
2005-01-19,0.0028697591438872783,0.015662636209580517,0.02060091785016314,0.49701798026302413,64.07748862975178,0.07307688049944787,0.94,-0.010000000000000009,1.76,-0.010000000000000009,2.5,0.0,13.18,0.7099999999999991,-0.005225285149524789,-0.017695892181952347,0.00287494208559912,0.001981942952229151
2005-01-20,0.001981942952229151,0.008062333140828673,0.02585102170982568,0.5613401607326125,65.4775678999317,0.07133679282414197,0.96,0.020000000000000018,1.8,0.040000000000000036,2.47,-0.029999999999999805,13.83,0.6500000000000004,-0.004393256463331894,-0.012682478170388293,0.0028667004820762637,0.001099384455497478
2005-01-21,0.001099384455497478,0.009272613077448994,0.02695040616532339,0.6133152005793505,66.26423090757675,0.07117915971097061,1.0,0.040000000000000036,1.79,-0.010000000000000009,2.47,0.0,14.36,0.5299999999999994,0.02061928720273561,0.027278233530276252,-0.006941978805902606,0.004276087870839999
2005-01-24,0.004276087870839999,0.013548700948289012,0.03904567376897301,0.6781581497404119,69.21091400005497,0.06299782172682622,0.94,-0.06000000000000005,1.77,-0.020000000000000018,2.46,-0.010000000000000231,14.65,0.2900000000000009,-0.008239193117933044,0.006190692491048703,-0.00024024024139582327,-0.00945373645229183
2005-01-25,-0.00945373645229183,0.0007734379701622702,0.030388614078786597,0.6526287435305278,57.32108189250615,0.07446005333196587,0.97,0.030000000000000027,1.78,0.010000000000000009,2.46,0.0,14.06,-0.5899999999999999,-0.0270926052468151,0.016728256261503833,0.00896974261210215,0.0018758626190401347
2005-01-26,0.0018758626190401347,-0.00022045855468493777,0.03328970888878476,0.6387509609611755,58.82682421519128,0.07385472310102383,0.94,-0.030000000000000027,1.76,-0.020000000000000018,2.49,0.03000000000000025,13.44,-0.620000000000001,0.008032171697264253,-0.012827214459766522,-0.00824919496473874,-0.0018758626190400716
2005-01-27,-0.0018758626190400716,-0.004078264125954192,0.024711941250771738,0.6070375875981711,56.67353559009632,0.07235611216276072,0.94,0.0,1.75,-0.010000000000000009,2.5,0.009999999999999787,13.24,-0.1999999999999993,-0.0046594872186250325,0.0,0.0015594077411862197,0.010000632829062208
2005-01-28,0.010000632829062208,0.004822984247610326,0.03222501060803216,0.6478657128824494,64.22288194966268,0.07871555554386671,0.91,-0.029999999999999916,1.75,0.0,2.51,0.009999999999999787,13.24,0.0,-0.005336250070805082,-0.03439630377963502,0.0005991252950168447,0.0028390497339779446
2005-01-31,0.0028390497339779446,0.003385946110748408,0.03292067862008943,0.6932112160210409,66.04340775421288,0.07881659845930573,0.85,-0.06000000000000005,1.75,0.0,2.49,-0.019999999999999574,12.82,-0.41999999999999993,-0.001967428768844983,0.023061818705528394,0.001436437881655817,-0.00535725328729844
2005-02-01,-0.00535725328729844,0.007482429275741865,0.03809878191165014,0.6817501576137062,59.86119066288862,0.06983344311020408,0.86,0.010000000000000009,1.74,-0.010000000000000009,2.48,-0.010000000000000231,12.03,-0.7900000000000009,0.0029496935135797835,-0.024122826762622864,-0.0017958699828117958,0.0022994808927807972
2005-02-02,0.0022994808927807972,0.00790604754948256,0.035060070787799644,0.6817536000853011,61.523523448411254,0.06867543289801666,0.83,-0.030000000000000027,1.73,-0.010000000000000009,2.45,-0.029999999999999805,11.66,-0.3699999999999992,0.007282245105158626,-0.009600073729019342,0.0008384740264843395,-0.0008753693523195648
2005-02-03,-0.0008753693523195648,0.00890654081620303,0.03350527665563524,0.6676052590008226,60.495665452372734,0.0692174233709352,0.84,0.010000000000000009,1.7,-0.030000000000000027,2.45,0.0,11.79,0.129999999999999,-0.01439815449034709,-0.005373468061143235,0.005373468061143366,0.014130669907353122
2005-02-04,0.014130669907353122,0.013036577894494035,0.045374525427373705,0.7526160429488726,69.43259826054268,0.08216251007424416,0.8,-0.039999999999999925,1.69,-0.010000000000000009,2.44,-0.010000000000000231,11.21,-0.5799999999999983,0.0007687661682227102,0.001077006027637966,0.004989318974403332,0.007419787790300773
2005-02-07,0.007419787790300773,0.017617315950816805,0.0512143557735588,0.865685847546942,72.93268881071103,0.08410521409229695,0.76,-0.040000000000000036,1.65,-0.040000000000000036,2.45,0.010000000000000231,11.73,0.5199999999999996,-0.027829044332777532,-0.023966288698701935,0.0076728228638172965,0.005662105827230825
2005-02-08,0.005662105827230825,0.028636675065346184,0.0510298067629367,0.9866871377870439,75.27462523089474,0.0840120835285159,0.72,-0.040000000000000036,1.63,-0.020000000000000018,2.48,0.029999999999999805,11.6,-0.13000000000000078,0.0005642385750326915,0.0011019284861567347,0.00070530154563593,0.002659717510261165
2005-02-09,0.002659717510261165,0.028996911682826452,0.05234513688720481,1.090187440535999,76.31560227488399,0.0838910751630702,0.76,0.040000000000000036,1.64,0.010000000000000009,2.51,0.029999999999999805,12.0,0.40000000000000036,0.011329977052168367,0.0011007155761857147,-0.0009405126486843675,-0.013585276060447066
2005-02-10,-0.013585276060447066,0.01628700497469906,0.029177614805776467,1.0575430915155266,62.02866603629948,0.09757169011330644,0.78,0.020000000000000018,1.67,0.030000000000000027,2.5,-0.009999999999999787,11.51,-0.4900000000000002,0.038297896996455576,0.034598045407900714,-0.005661727792000108,-0.0006464124336266857
2005-02-11,-0.0006464124336266857,0.0015099226337190682,0.028642097853272732,1.0151289366816485,61.443426830124714,0.09770438704972477,0.76,-0.020000000000000018,1.65,-0.020000000000000018,2.53,0.029999999999999805,11.43,-0.08000000000000007,0.0186126085682848,0.002123143048077973,0.0003547986554869275,0.003120463069003018
2005-02-14,0.003120463069003018,-0.0027894020875786365,0.031762560922275654,0.9934639556957734,63.24831246111233,0.09772561328866501,0.7,-0.06000000000000005,1.63,-0.020000000000000018,2.54,0.010000000000000231,11.52,0.08999999999999986,0.004520850889604609,0.0073957019611289926,-0.007239098841698676,-0.005062211251913303
2005-02-15,-0.005062211251913303,-0.013513719166722933,0.023378823144527446,0.9276755636903715,58.471074466977576,0.1002517955535762,0.73,0.030000000000000027,1.64,0.010000000000000009,2.49,-0.04999999999999982,11.27,-0.25,-0.004942436056051129,-0.004219415542708322,-0.004416599241367397,-0.0037864490525031476
2005-02-16,-0.0037864490525031476,-0.019959885729487238,0.01672261494813684,0.8376399225044793,55.13156176066466,0.10153010628555752,0.75,0.020000000000000018,1.62,-0.019999999999999796,2.51,0.019999999999999574,11.1,-0.16999999999999993,0.00094831680885926,0.021955926401416186,0.0009565945964425786,-0.006306425163245009
2005-02-17,-0.006306425163245009,-0.012681034832285241,0.008434246832662775,0.7112856176151894,50.03198224378418,0.10450850271518498,0.81,0.06000000000000005,1.64,0.019999999999999796,2.54,0.03000000000000025,11.77,0.6699999999999999,0.015570616054675442,-0.01773651085870783,-0.0023932044448620295,-0.008984392635172303
2005-02-18,-0.008984392635172303,-0.021019015033830784,-0.0016495302580071547,0.538771155179262,43.85565601870434,0.10964469876360727,0.82,0.009999999999999898,1.62,-0.019999999999999796,2.6,0.06000000000000005,11.18,-0.5899999999999999,-0.0015565820607776248,0.01980262729617973,0.0002395783432637368,0.0
2005-02-21,0.0,-0.024139478102833775,-0.00592561812884715,0.3974704093371031,43.85565601870433,0.10843414165333448,0.82,0.0,1.62,0.0,2.6,0.0,11.18,0.0,0.0,0.0,0.0007183908354936538,-0.004412096281560201
2005-02-22,-0.004412096281560201,-0.02348936313248062,-0.0008839779581155937,0.2503262875594885,40.99276241543384,0.10418036683846103,0.83,0.010000000000000009,1.64,0.019999999999999796,2.62,0.020000000000000018,13.14,1.9600000000000009,0.03218997595026309,0.05129329438755048,-0.013738466266110503,0.003310895861944052
2005-02-23,0.003310895861944052,-0.016392018218033502,0.0005510552847882757,0.15612133417178597,43.94815678547708,0.10465460148409558,0.81,-0.019999999999999907,1.64,0.0,2.63,0.009999999999999787,12.39,-0.75,0.0025109238321570173,0.014212251291097803,0.0032709460382754968,-0.002206045456768255
2005-02-24,-0.002206045456768255,-0.012291638511556624,0.00022087244706031292,0.06458045805126744,42.42269328989362,0.10474077716661956,0.77,-0.040000000000000036,1.62,-0.019999999999999796,2.64,0.010000000000000231,11.57,-0.8200000000000003,-0.011704300700229337,0.006166911045554276,0.002416043697605211,0.004846892061977272
2005-02-25,0.004846892061977272,0.0015396461855928362,-0.004932868320024699,0.02722415387647459,46.79788805820006,0.09969766928413637,0.73,-0.040000000000000036,1.62,0.0,2.63,-0.010000000000000231,11.49,-0.08000000000000007,0.0035459233749973837,0.0028776998276151956,-0.0026579694275866363,-0.010827638652063503
2005-02-28,-0.010827638652063503,-0.009287992466470604,-0.018599556706066205,-0.0805304907490978,39.58323554924047,0.10570896836954312,0.77,0.040000000000000036,1.59,-0.030000000000000027,2.66,0.03000000000000025,12.08,0.5899999999999999,0.0009097801992191743,-0.008658062743114654,-0.0018163109673343515,-0.0034496222935945127
2005-03-01,-0.0034496222935945127,-0.008325518478504908,-0.016691925712362287,-0.1887652637092998,37.60812612935728,0.10486280197508005,0.79,0.020000000000000018,1.58,-0.010000000000000009,2.69,0.029999999999999805,12.04,-0.040000000000000924,-0.02165338405559492,-0.0015470898463851833,0.00314617878105248,-0.0013385389617050411
2005-03-02,-0.0013385389617050411,-0.012974953302153926,-0.02032994556684816,-0.28098606572986284,36.84178044637957,0.10421382795425245,0.81,0.020000000000000018,1.6,0.020000000000000018,2.69,0.0,12.5,0.46000000000000085,0.013027829537283875,0.025414571253028484,0.003738322110607158,-0.0005582537966675337
2005-03-03,-0.0005582537966675337,-0.011327161642053298,-0.020012830011196116,-0.35402531442711904,36.507966782975934,0.10422560230861086,0.8,-0.010000000000000009,1.59,-0.010000000000000009,2.7,0.010000000000000231,12.93,0.4299999999999997,-0.010552836008235074,0.011257154524634468,0.0024044252988019944,0.010774889026259903
