Date,XLE_ret_1d,XLE_ret_5d,XLE_ret_20d,XLE_macd,XLE_rsi_14,XLE_vol_20d,Term_Spread_level,Term_Spread_diff,Credit_Spread_level,Credit_Spread_diff,Breakeven_Inflation_level,Breakeven_Inflation_diff,VIX_level,VIX_diff,Gold_Spot_logret,WTI_Crude_logret,DXY_logret,target
2004-12-16,-0.01017190901029815,0.010834944168996587,0.006653753408595462,-0.025039074551855833,62.731941853437434,0.200693896801224,1.18,0.05999999999999983,1.92,0.010000000000000009,2.55,0.029999999999999805,12.27,-0.08000000000000007,-0.009016828225302777,-0.0011316058693121133,0.010601451877370664,-0.003875973844693072
2004-12-17,-0.003875973844693072,0.013966707481708102,-0.009112309359018203,-0.028140668497780297,60.96548233226125,0.1964090660912694,1.18,0.0,1.92,0.0,2.57,0.020000000000000018,11.95,-0.3200000000000003,0.0,0.047538518523820836,-0.0041297277203325815,0.012131386717398362
2004-12-20,0.012131386717398362,0.008531770481207325,-0.012797996325127101,-0.013209791179086494,64.36202662154197,0.19276083612821793,1.15,-0.030000000000000027,1.9,-0.020000000000000018,2.59,0.020000000000000018,11.83,-0.11999999999999922,0.006492211888164334,-0.016108315216869406,-0.005981828250118429,0.008459594726528824
2004-12-21,0.008459594726528824,0.013955623949906147,-0.010542062762093511,0.010644330836178995,66.56916417482879,0.19398555101323522,1.13,-0.020000000000000018,1.91,0.010000000000000009,2.59,0.0,11.55,-0.27999999999999936,0.010960942359091577,0.004160741795751299,0.0033005347485406127,-0.01368010390408004
2004-12-22,-0.01368010390408004,-0.007137005315144168,-0.03252319170556006,0.009848280211826932,60.10355357633323,0.19639461756142618,1.17,0.040000000000000036,1.91,0.0,2.58,-0.009999999999999787,11.45,-0.10000000000000142,-0.008738943666870894,-0.038084994689353974,-0.00012204796500157387,0.005768454396740227
2004-12-23,0.005768454396740227,0.008803358091894309,-0.026754737308819727,0.017245190062130433,61.78248463609771,0.19808821221871598,1.21,0.040000000000000036,1.91,0.0,2.61,0.029999999999999805,11.23,-0.21999999999999886,0.0018143337302398642,-0.0431421262459412,-0.0072273236746448555,0.0
2004-12-24,0.0,0.012679331936587452,-0.03101232756146092,0.02284396341992334,61.78248463609771,0.19706703144089335,1.21,0.0,1.91,0.0,2.61,0.0,11.23,0.0,0.0,0.0,-0.0014763782209268324,-0.017684904123354314
2004-12-27,-0.017684904123354314,-0.01713695890416522,-0.04337240547175127,0.002184377151298378,53.782812241997696,0.20493358975213488,1.23,0.020000000000000018,1.9,-0.010000000000000009,2.63,0.020000000000000018,12.14,0.9100000000000001,0.008223895512446658,-0.022289718493141493,-0.0061751462127982324,0.0069454370045936315
2004-12-28,0.0069454370045936315,-0.01865111662610041,-0.037760835545011216,-0.004344864251770275,56.17018997253045,0.20716154774031315,1.23,0.0,1.9,0.0,2.62,-0.009999999999999787,12.0,-0.14000000000000057,-0.007720497565747764,0.012524248485313975,0.0,0.00744728307528386
2004-12-29,0.00744728307528386,0.002476270353263284,-0.006027415508076282,0.0010456396546771884,58.654222209685805,0.1917033423429205,1.21,-0.020000000000000018,1.89,-0.010000000000000009,2.6,-0.020000000000000018,11.62,-0.3800000000000008,-0.004236439662694506,0.044701486834924635,0.0030923396526694566,-0.004406506717082702
